atributo,valor
iso3,SAU
country_name,Saudi Arabia
region,MENA
income_group,HI
iapp_jurisdiction_iapp,Saudi Arabia
iapp_has_ai_law,0
iapp_regulatory_approach,strategy_led
iapp_regulatory_intensity,4
iapp_enforcement_level,medium
iapp_thematic_coverage,7
iapp_evidence_summary,"National Strategy on Data and AI, SDAIA AI Ethics Principles 2023, draft AI law Apr 2025, strong institutional framework"
iapp_source,IAPP_Global_AI_Law_Policy_Tracker
iapp_source_date,2026-02
oxford_readiness_score,71.57
oxford_rank,15
oxford_pillar_policy_capacity,92.0
oxford_pillar_ai_infrastructure,62.93
oxford_pillar_governance,93.21
oxford_pillar_public_sector_adoption,88.62
oxford_pillar_development_and_diffusion,54.48
oxford_pillar_resilience,57.39
oxford_dimension_compute_capacity,25.94
oxford_dimension_policy_vision,80.0
oxford_dimension_e_government_delivery,91.25
oxford_dimension_safety_and_security,66.67
ms_ai_user_share_h1_2025,23.7
ms_ai_user_share_h2_2025,26.2
ms_ai_user_share_change_pp,2.5
fh_country_name,Saudi Arabia
fh_fh_status,NF
fh_fh_total_score,8
fh_fh_pr_score,1
fh_fh_cl_score,7
fh_fh_year,2025
fh_notes,Data year 2024
gdpr_country_name,Saudi Arabia
gdpr_has_gdpr_like_law,1
gdpr_gdpr_similarity_level,2
gdpr_dp_law_name,Personal Data Protection Law (PDPL)
gdpr_dp_law_year,2021
gdpr_has_dpa,1
gdpr_eu_status,none
gdpr_enforcement_active,1
gdpr_notes,Amended 2023; effective Sep 2023; SDAIA enforcement
legal_origin,French
is_common_law,0
wipo_gii_score,36.0448190047954
wipo_gii_rank,46
wipo_income_group_wipo,HI
wipo_region_un,Northern Africa and Western Asia
wipo_ppp_per_capita,63117.95
wipo_population_thousands,33962.76
wipo_business_environment,78.8380012824497
wipo_business_sophistication,23.696995006064
wipo_creative_goods_and_services,7.90716282703358
wipo_creative_outputs,24.4392629827295
wipo_credit,49.4380710868029
wipo_ecological_sustainability,6.25618986080418
wipo_education,57.3832091318126
wipo_general_infrastructure,46.9706878669161
wipo_human_capital_and_research,43.4445632510264
wipo_information_and_communication_technologies_icts,85.0378243648321
wipo_infrastructure,46.0882340308508
wipo_innovation_inputs,45.3556459499998
wipo_innovation_linkages,37.4176102505222
wipo_innovation_outputs,22.5128106833564
wipo_institutional_environment,63.2719237205899
wipo_institutions,64.8702523992604
wipo_intangible_assets,33.4940985258193
wipo_investment,37.1540566032644
wipo_knowledge_absorption,15.9657667817452
wipo_knowledge_and_technology_outputs,20.5863583839834
wipo_knowledge_creation,22.0542541938782
wipo_knowledge_diffusion,17.6107526193374
wipo_knowledge_impact,22.0940683387346
wipo_knowledge_workers,17.7076079859246
wipo_market_sophistication,48.6781850627972
wipo_online_creativity,22.8616920522456
wipo_regulatory_environment,52.5008321947417
wipo_research_and_development_r_d,33.1632479544946
wipo_tertiary_education,39.7872326667718
wipo_trade_diversification_and_market_scale,59.4424274983245
wb_gdp_per_capita_ppp_2024,71375.3727890285
wb_rd_expenditure_2023,0.56486
wb_internet_penetration_2024,100.0
wb_tertiary_education_2024,83.884129573915
wb_government_effectiveness_2023,0.796441078186035
wb_regulatory_quality_2023,0.517070889472961
wb_rule_of_law_2023,0.414570838212967
wb_control_of_corruption_2023,0.536042988300323
wb_voice_accountability_2023,-1.41669249534607
wb_political_stability_2023,-0.213224530220032
wb_gdp_current_usd_2024,1239804533333.33
wb_population_2024,35300280.0
wb_labor_force_2024,17534019.0
wb_fdi_net_inflows_2024,21337562069.6656
wb_exports_pct_gdp_2024,29.1092122693749
wb_inflation_consumer_prices_2024,1.68792112375809
wb_unemployment_rate_2024,3.518
wb_education_expenditure_pct_gdp_2023,5.11466979980469
wb_mobile_subscriptions_per100_2023,157.775
wb_patent_applications_residents_2021,1398.0
wb_high_tech_exports_pct,0.644531120548462
wb_ict_service_exports_pct,6.44444701607436
oecd_year,2024
oecd_has_ai_law,1
oecd_regulatory_approach,regulation_focused
oecd_year_enacted,2021.0
oecd_regulatory_intensity,27
oecd_enforcement_level,high
oecd_thematic_coverage,24
oecd_n_total_initiatives,41
oecd_n_binding,13
oecd_n_nonbinding,25
oecd_n_strategies,0
oecd_n_regulations,33
oecd_n_sectors_covered,1
oecd_n_policy_instruments,1
stanford_fig_4.2.13,28.71%
stanford_fig_4.2.14,1/1/18
stanford_fig_4.2.15,0.65
stanford_fig_4.2.16,Female
stanford_fig_4.2.17,0.37%
stanford_fig_4.2.18,160%
stanford_fig_4.2.19,2016
stanford_fig_4.2.21,2016
stanford_fig_4.2.22,1.61
stanford_fig_4.2.23,1/1/19
stanford_fig_4.3.12,3
stanford_fig_4.3.13,13
stanford_fig_4.3.8,0.025999147
stanford_fig_4.3.9,0.155166756
stanford_fig_1.2.4,0.006012453
stanford_fig_1.3.1,1
stanford_fig_1.3.3,2
stanford_fig_6.2.1,0
