atributo,valor
iso3,SRB
country_name,Serbia
region,Europe-Other
income_group,UM
iapp_jurisdiction_iapp,Additional research (SRB)
iapp_has_ai_law,0
iapp_regulatory_approach,strategy_led
iapp_regulatory_intensity,2
iapp_enforcement_level,low
iapp_thematic_coverage,3
iapp_evidence_summary,"AI Strategy 2020-2025, Office for IT and eGovernment, no binding AI law."
iapp_source,IAPP_supplementary_research
iapp_source_date,2026-02
oxford_readiness_score,60.96
oxford_rank,40
oxford_pillar_policy_capacity,100.0
oxford_pillar_ai_infrastructure,52.75
oxford_pillar_governance,78.64
oxford_pillar_public_sector_adoption,83.92
oxford_pillar_development_and_diffusion,35.78
oxford_pillar_resilience,44.42
oxford_dimension_compute_capacity,7.91
oxford_dimension_policy_vision,100.0
oxford_dimension_e_government_delivery,87.85
oxford_dimension_safety_and_security,33.33
ms_ai_user_share_h1_2025,19.7
ms_ai_user_share_h2_2025,21.5
ms_ai_user_share_change_pp,1.8
fh_country_name,Serbia
fh_fh_status,PF
fh_fh_total_score,57
fh_fh_pr_score,23
fh_fh_cl_score,34
fh_fh_year,2025
fh_notes,Data year 2024
gdpr_country_name,Serbia
gdpr_has_gdpr_like_law,1
gdpr_gdpr_similarity_level,2
gdpr_dp_law_name,Law on Personal Data Protection
gdpr_dp_law_year,2018
gdpr_has_dpa,1
gdpr_eu_status,none
gdpr_enforcement_active,1
gdpr_notes,GDPR-aligned; Commissioner for Information of Public Importance; EU candidate
legal_origin,Socialist
is_common_law,0
wipo_gii_score,31.7434550377633
wipo_gii_rank,54
wipo_income_group_wipo,UM
wipo_region_un,Europe
wipo_ppp_per_capita,29038.9
wipo_population_thousands,6736.22
wipo_business_environment,43.2395926150568
wipo_business_sophistication,27.2265561755483
wipo_creative_goods_and_services,24.8370600590868
wipo_creative_outputs,17.9262186899971
wipo_credit,22.0686413349984
wipo_ecological_sustainability,43.8821490666625
wipo_education,54.6434928345842
wipo_general_infrastructure,28.2496632124757
wipo_human_capital_and_research,35.4214260364221
wipo_information_and_communication_technologies_icts,84.8914813434757
wipo_infrastructure,52.3410978742046
wipo_innovation_inputs,40.7383185998877
wipo_innovation_linkages,22.0707308549942
wipo_innovation_outputs,23.7703982749907
wipo_institutional_environment,53.1822534025487
wipo_institutions,46.4779636050017
wipo_intangible_assets,5.74888222473673
wipo_knowledge_absorption,29.0429812629191
wipo_knowledge_and_technology_outputs,29.6145778599843
wipo_knowledge_creation,23.917672978699
wipo_knowledge_diffusion,40.4139464020149
wipo_knowledge_impact,24.5121141992389
wipo_knowledge_workers,30.5659564087316
wipo_market_sophistication,42.2245493082617
wipo_online_creativity,35.3700502514281
wipo_regulatory_environment,43.0120447973995
wipo_research_and_development_r_d,11.2477284775426
wipo_tertiary_education,40.3730567971396
wipo_trade_diversification_and_market_scale,62.3804572815251
wb_ict_service_exports_pct,20.5235923208909
oecd_year,2024
oecd_has_ai_law,0
oecd_regulatory_approach,strategy_led
oecd_regulatory_intensity,15
oecd_enforcement_level,medium
oecd_thematic_coverage,4
oecd_n_total_initiatives,17
oecd_n_binding,0
oecd_n_nonbinding,14
oecd_n_strategies,1
oecd_n_regulations,2
oecd_n_sectors_covered,1
oecd_n_policy_instruments,1
stanford_fig_4.3.13,2
stanford_fig_4.3.9,0.010291385
stanford_fig_6.2.1,0
