atributo,valor
iso3,SWE
country_name,Sweden
region,Europe
income_group,HI
iapp_jurisdiction_iapp,EU (Sweden)
iapp_has_ai_law,1
iapp_regulatory_approach,comprehensive
iapp_regulatory_intensity,10
iapp_year_enacted,2024.0
iapp_enforcement_level,high
iapp_thematic_coverage,14
iapp_evidence_summary,"EU AI Act (propagated to Sweden as EU member state). EU AI Act entered into force Aug 2024 (full application Aug 2026), GDPR, Digital Services Act, AI Liability Directive proposal, coordinated AI plan"
iapp_source,IAPP_Global_AI_Law_Policy_Tracker
iapp_source_date,2026-02
oxford_readiness_score,69.45
oxford_rank,23
oxford_pillar_policy_capacity,89.04
oxford_pillar_ai_infrastructure,67.49
oxford_pillar_governance,81.52
oxford_pillar_public_sector_adoption,73.81
oxford_pillar_development_and_diffusion,57.03
oxford_pillar_resilience,61.17
oxford_dimension_compute_capacity,34.06
oxford_dimension_policy_vision,72.61
oxford_dimension_e_government_delivery,97.09
oxford_dimension_safety_and_security,33.33
oxford_dimension_ai_sector_maturity,47.24
oxford_dimension_human_capital,52.6
oxford_dimension_data_quality,89.29
oxford_dimension_regulatory_compliance,88.05
oxford_dimension_government_digital_policy,50.54
oxford_dimension_societal_transition,89.01
oxford_dimension_ai_technology_diffusion,74.5
ms_ai_user_share_h1_2025,31.2
ms_ai_user_share_h2_2025,33.3
ms_ai_user_share_change_pp,2.2
fh_country_name,Sweden
fh_fh_status,F
fh_fh_total_score,100
fh_fh_pr_score,40
fh_fh_cl_score,60
fh_fh_year,2025
fh_notes,Data year 2024
gdpr_country_name,Sweden
gdpr_has_gdpr_like_law,1
gdpr_gdpr_similarity_level,3
gdpr_dp_law_name,GDPR + Data Protection Act
gdpr_dp_law_year,2018
gdpr_has_dpa,1
gdpr_eu_status,eu_member
gdpr_enforcement_active,1
gdpr_notes,EU member; IMY enforcement
legal_origin,Scandinavian
is_common_law,0
wipo_gii_score,62.5781910502956
wipo_gii_rank,2
wipo_income_group_wipo,HI
wipo_region_un,Europe
wipo_ppp_per_capita,71730.79
wipo_population_thousands,10607.0
wipo_business_environment,55.3326212613227
wipo_business_sophistication,74.0813916200421
wipo_creative_goods_and_services,49.9328621676268
wipo_creative_outputs,57.7754264147115
wipo_credit,58.9104362183331
wipo_ecological_sustainability,50.6268357090438
wipo_education,68.3065495092949
wipo_general_infrastructure,63.2385768290412
wipo_human_capital_and_research,62.706144009795
wipo_information_and_communication_technologies_icts,87.811750879151
wipo_infrastructure,67.2257211390787
wipo_innovation_inputs,68.3355104267272
wipo_innovation_linkages,68.9566590747437
wipo_innovation_outputs,60.7132203971166
wipo_institutional_environment,84.5324008968686
wipo_institutions,76.3400825878381
wipo_intangible_assets,55.3980103966395
wipo_investment,57.7434977279211
wipo_knowledge_absorption,72.8447803542404
wipo_knowledge_and_technology_outputs,63.6510143795217
wipo_knowledge_creation,74.5753184751655
wipo_knowledge_diffusion,57.5265838141559
wipo_knowledge_impact,58.8511408492437
wipo_knowledge_workers,80.4427354311422
wipo_market_sophistication,61.3242127768822
wipo_online_creativity,70.3728226979403
wipo_regulatory_environment,89.1552256053231
wipo_research_and_development_r_d,74.2283638913044
wipo_tertiary_education,45.5835186287858
wipo_trade_diversification_and_market_scale,67.3187043843923
wb_gdp_per_capita_ppp_2024,71844.9129880579
wb_rd_expenditure_2022,3.40822
wb_internet_penetration_2024,95.5293
wb_tertiary_education_2023,81.3998184204102
wb_government_effectiveness_2023,1.60138332843781
wb_regulatory_quality_2023,1.71801710128784
wb_rule_of_law_2023,1.60402345657349
wb_control_of_corruption_2023,2.0282461643219
wb_voice_accountability_2023,1.57483160495758
wb_political_stability_2023,0.758365273475647
wb_gdp_current_usd_2024,603715224265.798
wb_population_2024,10569709.0
wb_labor_force_2024,5680083.0
wb_fdi_net_inflows_2024,27034877940.548
wb_exports_pct_gdp_2024,54.3095809724471
wb_inflation_consumer_prices_2024,2.83581658224034
wb_unemployment_rate_2024,8.4
wb_education_expenditure_pct_gdp_2022,7.31909990310669
wb_mobile_subscriptions_per100_2023,140.266
wb_patent_applications_residents_2021,1771.0
wb_high_tech_exports_pct,14.5057835745267
wb_ict_service_exports_pct,22.3549750668248
oecd_year,2024
oecd_has_ai_law,0
oecd_regulatory_approach,light_touch
oecd_year_enacted,2024.0
oecd_regulatory_intensity,9
oecd_enforcement_level,medium
oecd_thematic_coverage,21
oecd_n_total_initiatives,16
oecd_n_binding,0
oecd_n_nonbinding,13
oecd_n_strategies,0
oecd_n_regulations,2
oecd_n_sectors_covered,1
oecd_n_policy_instruments,1
stanford_fig_4.2.1,2014
stanford_fig_4.2.13,19.12%
stanford_fig_4.2.14,1/1/18
stanford_fig_4.2.15,0.71
stanford_fig_4.2.16,Female
stanford_fig_4.2.17,0.90%
stanford_fig_4.2.18,68%
stanford_fig_4.2.19,2016
stanford_fig_4.2.21,2016
stanford_fig_4.2.22,0.41
stanford_fig_4.2.23,1/1/23
stanford_fig_4.2.25,0.135635115355309
stanford_fig_4.3.12,16
stanford_fig_4.3.13,112
stanford_fig_4.3.8,4.335660898
stanford_fig_4.3.9,7.267975111
stanford_fig_1.2.4,0.740274501
stanford_fig_1.2.5,34.53457889
stanford_fig_1.3.3,1
stanford_fig_6.2.1,0
stanford_fig_6.2.15,28
stanford_fig_6.2.16,127
stanford_fig_6.3.1,26.34568693176657
stanford_fig_6.3.2,18
stanford_fig_6.3.3,538.241245
stanford_fig_6.3.4,253.8983192
stanford_fig_6.3.5,4.771155814531438
