atributo,valor
iso3,SYC
country_name,Seychelles
region,Sub-Saharan Africa
income_group,HI
iapp_jurisdiction_iapp,Additional research (SYC)
iapp_has_ai_law,0
iapp_regulatory_approach,none
iapp_regulatory_intensity,0
iapp_enforcement_level,none
iapp_thematic_coverage,0
iapp_evidence_summary,No AI-specific legislation or strategy identified.
iapp_source,IAPP_supplementary_research
iapp_source_date,2026-02
oxford_readiness_score,27.24
oxford_rank,140
oxford_pillar_policy_capacity,8.0
oxford_pillar_ai_infrastructure,43.75
oxford_pillar_governance,39.66
oxford_pillar_public_sector_adoption,26.98
oxford_pillar_development_and_diffusion,11.77
oxford_pillar_resilience,25.67
oxford_dimension_compute_capacity,2.08
oxford_dimension_policy_vision,20.0
oxford_dimension_e_government_delivery,53.1
oxford_dimension_safety_and_security,11.0
fh_country_name,Seychelles
fh_fh_status,F
fh_fh_total_score,79
fh_fh_pr_score,34
fh_fh_cl_score,45
fh_fh_year,2025
fh_notes,Data year 2024
gdpr_country_name,Seychelles
gdpr_has_gdpr_like_law,1
gdpr_gdpr_similarity_level,2
gdpr_dp_law_name,Data Protection Act (revised)
gdpr_dp_law_year,2023
gdpr_has_dpa,1
gdpr_eu_status,none
gdpr_enforcement_active,0
gdpr_notes,Revised 2023 replacing 2003 Act; DPC being strengthened
legal_origin,French
is_common_law,0
wipo_gii_score,27.1626135583414
wipo_gii_rank,75
wipo_income_group_wipo,HI
wipo_region_un,Sub-Saharan Africa
wipo_ppp_per_capita,41077.69
wipo_population_thousands,130.42
wipo_business_environment,64.3898640056455
wipo_business_sophistication,25.6729776597834
wipo_creative_goods_and_services,0.512154399441832
wipo_creative_outputs,25.3315076875124
wipo_credit,6.80415839926681
wipo_ecological_sustainability,6.45839230263793
wipo_education,49.6809910022262
wipo_general_infrastructure,38.5755026091178
wipo_human_capital_and_research,23.8761806896134
wipo_information_and_communication_technology_ict,66.1425841491016
wipo_infrastructure,37.0588263536191
wipo_innovation_inputs,37.7465788519137
wipo_innovation_linkages,32.5523874814064
wipo_innovation_outputs,16.5786482647692
wipo_institutional_environment,68.5395513164813
wipo_institutions,63.3704799145034
wipo_intangible_assets,4.66854458852517
wipo_investment,65.2702323162245
wipo_knowledge_absorption,19.4906903775634
wipo_knowledge_and_technology_outputs,7.82578884202599
wipo_knowledge_creation,15.8301512813844
wipo_knowledge_diffusion,4.01044799820343
wipo_knowledge_impact,3.63676724649018
wipo_knowledge_workers,24.9758551203805
wipo_market_sophistication,38.7544296420492
wipo_online_creativity,91.4767871735572
wipo_regulatory_environment,57.1820244213832
wipo_research_and_development_r_d,1.03154734494301
wipo_tertiary_education,20.916003721671
wipo_trade_diversification_and_market_scale,44.1888982106561
wb_high_tech_exports_pct,2.19832034015177
wb_ict_service_exports_pct,0.832602733045263
stanford_fig_4.2.25,0.062842524488946
stanford_fig_4.3.13,1
stanford_fig_4.3.9,0.002273567
stanford_fig_6.2.1,0
stanford_fig_6.2.15,0
stanford_fig_6.2.16,0
