atributo,valor
iso3,THA
country_name,Thailand
region,SE Asia
income_group,UM
iapp_jurisdiction_iapp,Additional research (THA)
iapp_has_ai_law,0
iapp_regulatory_approach,strategy_led
iapp_regulatory_intensity,3
iapp_enforcement_level,low
iapp_thematic_coverage,6
iapp_evidence_summary,"National AI Strategy 2022-2027, AI Governance Guidelines, AIAT standard, OECD AI principles adherent, no binding AI law."
iapp_source,IAPP_supplementary_research
iapp_source_date,2026-02
oxford_readiness_score,63.22
oxford_rank,34
oxford_pillar_policy_capacity,88.0
oxford_pillar_ai_infrastructure,56.38
oxford_pillar_governance,70.44
oxford_pillar_public_sector_adoption,85.86
oxford_pillar_development_and_diffusion,52.58
oxford_pillar_resilience,37.35
oxford_dimension_compute_capacity,21.34
oxford_dimension_policy_vision,70.0
oxford_dimension_e_government_delivery,94.03
oxford_dimension_safety_and_security,33.33
ms_ai_user_share_h1_2025,9.1
ms_ai_user_share_h2_2025,10.7
ms_ai_user_share_change_pp,1.6
fh_country_name,Thailand
fh_fh_status,PF
fh_fh_total_score,36
fh_fh_pr_score,13
fh_fh_cl_score,23
fh_fh_year,2025
fh_notes,Data year 2024
gdpr_country_name,Thailand
gdpr_has_gdpr_like_law,1
gdpr_gdpr_similarity_level,2
gdpr_dp_law_name,Personal Data Protection Act (PDPA)
gdpr_dp_law_year,2019
gdpr_has_dpa,1
gdpr_eu_status,none
gdpr_enforcement_active,1
gdpr_notes,Effective June 2022; PDPC enforcement; GDPR-inspired
legal_origin,German
is_common_law,0
wipo_gii_score,36.6722982832117
wipo_gii_rank,45
wipo_income_group_wipo,UM
wipo_region_un,"South East Asia, East Asia, and Oceania"
wipo_ppp_per_capita,25211.77
wipo_population_thousands,71668.01
wipo_business_environment,33.4728953327979
wipo_business_sophistication,35.3525707875337
wipo_creative_goods_and_services,35.8073163692866
wipo_creative_outputs,34.853987222052
wipo_credit,54.0183607295872
wipo_ecological_sustainability,16.8311650307789
wipo_education,39.3037364037371
wipo_general_infrastructure,37.3662938859231
wipo_human_capital_and_research,30.7094443446712
wipo_information_and_communication_technologies_icts,83.1986836642611
wipo_infrastructure,45.7987141936544
wipo_innovation_inputs,41.4568233727007
wipo_innovation_linkages,24.7323794084671
wipo_innovation_outputs,32.3173218078606
wipo_institutional_environment,54.9999442150258
wipo_institutions,44.8137688862987
wipo_intangible_assets,39.6036591734037
wipo_investment,30.0259881989021
wipo_knowledge_absorption,42.3603057175975
wipo_knowledge_and_technology_outputs,29.7806563936691
wipo_knowledge_creation,23.6020858887244
wipo_knowledge_diffusion,32.5220241497118
wipo_knowledge_impact,33.2178591425712
wipo_knowledge_workers,38.9650272365363
wipo_market_sophistication,50.6096186513456
wipo_online_creativity,24.4013141721139
wipo_regulatory_environment,45.9684671110724
wipo_research_and_development_r_d,17.1665915804944
wipo_tertiary_education,35.6580050497821
wipo_trade_diversification_and_market_scale,67.7845070255474
wb_gdp_per_capita_ppp_2024,24712.0658575135
wb_rd_expenditure_2022,1.15902
wb_internet_penetration_2024,90.8672
wb_tertiary_education_2024,44.9845744019321
wb_government_effectiveness_2023,0.171705812215805
wb_regulatory_quality_2023,0.158257782459259
wb_rule_of_law_2023,0.244872748851776
wb_control_of_corruption_2023,-0.489050775766373
wb_voice_accountability_2023,-0.450371354818344
wb_political_stability_2023,-0.280302882194519
wb_gdp_current_usd_2024,526517658841.684
wb_population_2024,71668011.0
wb_labor_force_2024,41014040.0
wb_fdi_net_inflows_2024,14302158846.415
wb_exports_pct_gdp_2024,70.0497307410759
wb_inflation_consumer_prices_2024,1.36580540798037
wb_unemployment_rate_2024,0.781
wb_education_expenditure_pct_gdp_2023,2.52122219628772
wb_mobile_subscriptions_per100_2023,168.643
wb_patent_applications_residents_2021,867.0
wb_high_tech_exports_pct,24.1456146250576
wb_ict_service_exports_pct,0.72175531535266
oecd_year,2024
oecd_has_ai_law,0
oecd_regulatory_approach,strategy_led
oecd_regulatory_intensity,7
oecd_enforcement_level,medium
oecd_thematic_coverage,22
oecd_n_total_initiatives,9
oecd_n_binding,0
oecd_n_nonbinding,6
oecd_n_strategies,1
oecd_n_regulations,2
oecd_n_sectors_covered,1
oecd_n_policy_instruments,1
stanford_fig_4.2.25,0.0295883552802121
stanford_fig_4.3.12,1
stanford_fig_4.3.13,7
stanford_fig_4.3.8,0.002147771
stanford_fig_4.3.9,0.14806777
stanford_fig_4.5.4,3.6
stanford_fig_4.5.7,9%
stanford_fig_1.2.4,0.001394653
