atributo,valor
iso3,TUN
country_name,Tunisia
region,MENA
income_group,LM
iapp_jurisdiction_iapp,Additional research (TUN)
iapp_has_ai_law,0
iapp_regulatory_approach,strategy_led
iapp_regulatory_intensity,2
iapp_enforcement_level,low
iapp_thematic_coverage,3
iapp_evidence_summary,"National AI Strategy, UNESCO AI ethics adopted, Digital Tunisia 2025, no binding AI law."
iapp_source,IAPP_supplementary_research
iapp_source_date,2026-02
oxford_readiness_score,42.23
oxford_rank,88
oxford_pillar_policy_capacity,19.5
oxford_pillar_ai_infrastructure,43.61
oxford_pillar_governance,59.0
oxford_pillar_public_sector_adoption,51.19
oxford_pillar_development_and_diffusion,36.68
oxford_pillar_resilience,36.76
oxford_dimension_compute_capacity,4.83
oxford_dimension_policy_vision,30.0
oxford_dimension_e_government_delivery,52.38
oxford_dimension_safety_and_security,33.33
ms_ai_user_share_h1_2025,12.3
ms_ai_user_share_h2_2025,12.7
ms_ai_user_share_change_pp,0.4
fh_country_name,Tunisia
fh_fh_status,PF
fh_fh_total_score,49
fh_fh_pr_score,21
fh_fh_cl_score,28
fh_fh_year,2025
fh_notes,Data year 2024
gdpr_country_name,Tunisia
gdpr_has_gdpr_like_law,1
gdpr_gdpr_similarity_level,2
gdpr_dp_law_name,Law 2004-63 Personal Data Protection
gdpr_dp_law_year,2004
gdpr_has_dpa,1
gdpr_eu_status,none
gdpr_enforcement_active,1
gdpr_notes,INPDP active; Convention 108+ signatory; reform to GDPR-alignment pending
legal_origin,French
is_common_law,0
wipo_gii_score,26.9867919028168
wipo_gii_rank,76
wipo_income_group_wipo,LM
wipo_region_un,Northern Africa and Western Asia
wipo_ppp_per_capita,14338.49
wipo_population_thousands,12277.11
wipo_business_environment,19.5948170659614
wipo_business_sophistication,16.8226630813444
wipo_creative_goods_and_services,6.78993414209325
wipo_creative_outputs,22.4146502798466
wipo_credit,22.7508488248477
wipo_ecological_sustainability,13.6513750442288
wipo_education,62.1196407835546
wipo_general_infrastructure,3.19862642156112
wipo_human_capital_and_research,36.7714799380222
wipo_information_and_communication_technologies_icts,64.2821785080152
wipo_infrastructure,27.0440599912684
wipo_innovation_inputs,27.8976098911523
wipo_innovation_linkages,12.8793053777898
wipo_innovation_outputs,22.8098901216436
wipo_institutional_environment,40.0814968269114
wipo_institutions,31.9498403170472
wipo_intangible_assets,30.5877341274364
wipo_investment,5.27771522081463
wipo_knowledge_absorption,15.7249591065746
wipo_knowledge_and_technology_outputs,23.2051299634406
wipo_knowledge_creation,24.9274649781754
wipo_knowledge_diffusion,21.3572820064255
wipo_knowledge_impact,23.330642905721
wipo_knowledge_workers,21.8637247596688
wipo_market_sophistication,26.9000061280793
wipo_online_creativity,21.6931987224202
wipo_regulatory_environment,36.1732070582688
wipo_research_and_development_r_d,7.24301272867764
wipo_tertiary_education,40.9517863018344
wipo_trade_diversification_and_market_scale,52.6714543385756
wb_gdp_per_capita_ppp_2024,14521.0080937638
wb_rd_expenditure_2019,0.74658
wb_internet_penetration_2023,72.3542
wb_tertiary_education_2023,38.1219482421875
wb_government_effectiveness_2023,-0.300515085458755
wb_regulatory_quality_2023,-0.6191326379776
wb_rule_of_law_2023,-0.138983190059662
wb_control_of_corruption_2023,-0.341899782419205
wb_voice_accountability_2023,-0.21289698779583
wb_political_stability_2023,-0.630951106548309
wb_gdp_current_usd_2024,51332285656.5422
wb_population_2024,12277109.0
wb_labor_force_2024,4241942.0
wb_fdi_net_inflows_2024,759601641.198674
wb_exports_pct_gdp_2024,50.0016900287054
wb_inflation_consumer_prices_2024,7.20661657168794
wb_unemployment_rate_2024,15.341
wb_education_expenditure_pct_gdp_2023,6.73398856321206
wb_mobile_subscriptions_per100_2023,134.136
wb_patent_applications_residents_2018,180.0
wb_high_tech_exports_pct,6.88585735055521
wb_ict_service_exports_pct,3.44627861706007
oecd_year,2024
oecd_has_ai_law,1
oecd_regulatory_approach,regulation_focused
oecd_year_enacted,2004.0
oecd_regulatory_intensity,7
oecd_enforcement_level,low
oecd_thematic_coverage,13
oecd_n_total_initiatives,7
oecd_n_binding,1
oecd_n_nonbinding,6
oecd_n_strategies,0
oecd_n_regulations,3
oecd_n_sectors_covered,1
oecd_n_policy_instruments,1
stanford_fig_4.2.25,0.0238277905353918
stanford_fig_4.3.12,1
stanford_fig_4.3.13,2
stanford_fig_4.3.8,0.013
stanford_fig_4.3.9,0.021
stanford_fig_1.3.21,Llama-1
stanford_fig_6.3.1,0.372782593074638
stanford_fig_6.3.2,1
stanford_fig_6.3.3,372.7825931
stanford_fig_6.3.4,3.039910582
