atributo,valor
iso3,TUR
country_name,Turkey
region,MENA
income_group,UM
iapp_jurisdiction_iapp,Turkey
iapp_has_ai_law,0
iapp_regulatory_approach,strategy_led
iapp_regulatory_intensity,3
iapp_enforcement_level,low
iapp_thematic_coverage,5
iapp_evidence_summary,"National AI Strategy 2021, AI bill before parliament summer 2024, DPA recommendations on AI and personal data"
iapp_source,IAPP_Global_AI_Law_Policy_Tracker
iapp_source_date,2026-02
oxford_readiness_score,58.91
oxford_rank,53
oxford_pillar_policy_capacity,77.0
oxford_pillar_ai_infrastructure,52.76
oxford_pillar_governance,68.18
oxford_pillar_public_sector_adoption,77.59
oxford_pillar_development_and_diffusion,45.7
oxford_pillar_resilience,47.27
oxford_dimension_compute_capacity,13.29
oxford_dimension_policy_vision,80.0
oxford_dimension_e_government_delivery,98.06
oxford_dimension_safety_and_security,50.0
ms_ai_user_share_h1_2025,13.4
ms_ai_user_share_h2_2025,14.6
ms_ai_user_share_change_pp,1.2
fh_country_name,Turkey
fh_fh_status,NF
fh_fh_total_score,33
fh_fh_pr_score,15
fh_fh_cl_score,18
fh_fh_year,2025
fh_notes,Data year 2024
gdpr_country_name,Turkey
gdpr_has_gdpr_like_law,1
gdpr_gdpr_similarity_level,2
gdpr_dp_law_name,Law on Protection of Personal Data (KVKK)
gdpr_dp_law_year,2016
gdpr_has_dpa,1
gdpr_eu_status,none
gdpr_enforcement_active,1
gdpr_notes,KVKK DPA active; GDPR-inspired but significant divergences
legal_origin,French
is_common_law,0
wipo_gii_score,37.2017171076035
wipo_gii_rank,43
wipo_income_group_wipo,UM
wipo_region_un,Northern Africa and Western Asia
wipo_ppp_per_capita,40283.31
wipo_population_thousands,87473.81
wipo_business_environment,26.453795363765
wipo_business_sophistication,31.1190604319765
wipo_creative_goods_and_services,15.3692574800461
wipo_creative_outputs,48.2611835479649
wipo_credit,36.6776281837153
wipo_ecological_sustainability,23.7421502031612
wipo_education,50.698679058859
wipo_general_infrastructure,41.3692895185994
wipo_human_capital_and_research,39.9704844988833
wipo_information_and_communication_technologies_icts,85.5776149153591
wipo_infrastructure,50.2296848790399
wipo_innovation_inputs,39.5995799932905
wipo_innovation_linkages,20.9197841583006
wipo_innovation_outputs,38.4085112836487
wipo_institutional_environment,40.3923082864948
wipo_institutions,33.3000571136086
wipo_intangible_assets,74.0448553149466
wipo_investment,10.7087659437626
wipo_knowledge_absorption,33.5017004764483
wipo_knowledge_and_technology_outputs,28.5558390193324
wipo_knowledge_creation,29.5420314972263
wipo_knowledge_diffusion,16.4642655248825
wipo_knowledge_impact,39.6612200358884
wipo_knowledge_workers,38.9356966611806
wipo_market_sophistication,43.378613042944
wipo_online_creativity,29.5857660819202
wipo_regulatory_environment,33.0540676905661
wipo_research_and_development_r_d,31.8316465134087
wipo_tertiary_education,37.3811279243824
wipo_trade_diversification_and_market_scale,82.749445001354
wb_gdp_per_capita_ppp_2024,45639.0192735944
wb_rd_expenditure_2022,1.32343
wb_internet_penetration_2024,87.3079
wb_tertiary_education_2022,127.577972412109
wb_government_effectiveness_2023,-0.247911587357521
wb_regulatory_quality_2023,-0.229510217905045
wb_rule_of_law_2023,-0.511972904205322
wb_control_of_corruption_2023,-0.50248908996582
wb_voice_accountability_2023,-0.860576987266541
wb_political_stability_2023,-1.01108038425446
wb_gdp_current_usd_2024,1359123768774.12
wb_population_2024,85518661.0
wb_labor_force_2024,36409307.0
wb_fdi_net_inflows_2024,11698000000.0
wb_exports_pct_gdp_2024,27.5682232095509
wb_inflation_consumer_prices_2024,58.5064507300343
wb_unemployment_rate_2024,8.8
wb_education_expenditure_pct_gdp_2022,3.09572005271912
wb_mobile_subscriptions_per100_2023,105.684
wb_patent_applications_residents_2021,8234.0
wb_high_tech_exports_pct,3.02817669225913
wb_ict_service_exports_pct,2.04004744296379
oecd_year,2024
oecd_has_ai_law,1
oecd_regulatory_approach,strategy_led
oecd_year_enacted,2016.0
oecd_regulatory_intensity,19
oecd_enforcement_level,medium
oecd_thematic_coverage,21
oecd_n_total_initiatives,34
oecd_n_binding,1
oecd_n_nonbinding,29
oecd_n_strategies,1
oecd_n_regulations,5
oecd_n_sectors_covered,1
oecd_n_policy_instruments,1
stanford_fig_4.2.13,20.36%
stanford_fig_4.2.14,1/1/18
stanford_fig_4.2.15,0.94
stanford_fig_4.2.16,Female
stanford_fig_4.2.17,0.36%
stanford_fig_4.2.18,198%
stanford_fig_4.2.19,2016
stanford_fig_4.2.21,2016
stanford_fig_4.2.23,1/1/19
stanford_fig_4.2.24,1.70%
stanford_fig_4.2.25,0.028148214094007
stanford_fig_4.2.3,2010
stanford_fig_4.2.7,0.87%
stanford_fig_4.3.12,5
stanford_fig_4.3.13,25
stanford_fig_4.3.15,0.891634742
stanford_fig_4.3.16,2018
stanford_fig_4.3.8,0.51305661
stanford_fig_4.3.9,0.867281275
stanford_fig_4.4.12,Little or no change
stanford_fig_4.4.2,Advanced industries 
stanford_fig_4.4.5,11%
stanford_fig_4.5.4,4.4
stanford_fig_4.5.7,15%
stanford_fig_4.5.8,8
stanford_fig_1.1.10,2013
stanford_fig_1.2.4,0.004687905
stanford_fig_1.3.12,10/11/21
stanford_fig_1.3.22,MMLU
stanford_fig_1.3.24,2021
stanford_fig_1.3.25,2021-10-11
stanford_fig_1.3.26,1170000000.0
stanford_fig_1.4.6,10/11/21
stanford_fig_1.4.7,2021
stanford_fig_1.4.8,2021
stanford_fig_6.2.1,0
stanford_fig_6.2.20,2024
stanford_fig_6.3.1,5.627115659474512
stanford_fig_6.3.13,1.87%
stanford_fig_6.3.2,2
stanford_fig_6.3.3,2813.55783
stanford_fig_6.3.4,6.608555933
