atributo,valor
iso3,UKR
country_name,Ukraine
region,Europe-Other
income_group,LM
iapp_jurisdiction_iapp,Additional research (UKR)
iapp_has_ai_law,0
iapp_regulatory_approach,strategy_led
iapp_regulatory_intensity,2
iapp_enforcement_level,low
iapp_thematic_coverage,3
iapp_evidence_summary,"AI Development Concept 2020, Ministry of Digital Transformation engagement, no binding AI law."
iapp_source,IAPP_supplementary_research
iapp_source_date,2026-02
oxford_readiness_score,60.84
oxford_rank,41
oxford_pillar_policy_capacity,73.5
oxford_pillar_ai_infrastructure,52.4
oxford_pillar_governance,83.0
oxford_pillar_public_sector_adoption,80.24
oxford_pillar_development_and_diffusion,40.34
oxford_pillar_resilience,58.21
oxford_dimension_compute_capacity,10.99
oxford_dimension_policy_vision,90.0
oxford_dimension_e_government_delivery,99.63
oxford_dimension_safety_and_security,59.67
ms_ai_user_share_h1_2025,9.1
ms_ai_user_share_h2_2025,9.0
ms_ai_user_share_change_pp,-0.1
fh_country_name,Ukraine
fh_fh_status,PF
fh_fh_total_score,48
fh_fh_pr_score,19
fh_fh_cl_score,29
fh_fh_year,2025
fh_notes,Data year 2024 - wartime conditions
gdpr_country_name,Ukraine
gdpr_has_gdpr_like_law,1
gdpr_gdpr_similarity_level,2
gdpr_dp_law_name,Law 2297-VI On Personal Data Protection
gdpr_dp_law_year,2010
gdpr_has_dpa,1
gdpr_eu_status,none
gdpr_enforcement_active,1
gdpr_notes,Reform toward full GDPR-alignment pending (EU candidate); Ombudsman enforcement
legal_origin,Socialist
is_common_law,0
wipo_gii_score,29.6910120248977
wipo_gii_rank,66
wipo_income_group_wipo,UM
wipo_region_un,Europe
wipo_ppp_per_capita,19603.12
wipo_population_thousands,37860.22
wipo_business_environment,38.1536017811775
wipo_business_sophistication,31.7875719690263
wipo_creative_goods_and_services,6.58954423040816
wipo_creative_outputs,23.6599143201939
wipo_credit,13.7963505289508
wipo_ecological_sustainability,17.276605706744
wipo_education,58.8624063513708
wipo_general_infrastructure,13.7735853334435
wipo_human_capital_and_research,34.3445458654636
wipo_information_and_communication_technologies_icts,75.5894651853953
wipo_infrastructure,35.5465520751943
wipo_innovation_inputs,31.6342954352562
wipo_innovation_linkages,23.7330825043062
wipo_innovation_outputs,27.3617950091184
wipo_institutional_environment,28.8437554173772
wipo_institutions,30.7679246629655
wipo_intangible_assets,25.8237820197239
wipo_investment,2.63030032370057
wipo_knowledge_absorption,25.7863622719544
wipo_knowledge_and_technology_outputs,31.0636756980428
wipo_knowledge_creation,32.8377036523765
wipo_knowledge_diffusion,32.5262395016724
wipo_knowledge_impact,27.8270839400796
wipo_knowledge_workers,45.8432711308184
wipo_market_sophistication,25.7248826036315
wipo_online_creativity,36.4025490109198
wipo_regulatory_environment,25.3064167903418
wipo_research_and_development_r_d,6.963076790723
wipo_tertiary_education,37.2081544542971
wipo_trade_diversification_and_market_scale,60.7479969582431
wb_high_tech_exports_pct,5.48014872729842
wb_ict_service_exports_pct,24.7981677640996
oecd_year,2024
oecd_has_ai_law,1
oecd_regulatory_approach,regulation_focused
oecd_year_enacted,2020.0
oecd_regulatory_intensity,3
oecd_enforcement_level,low
oecd_thematic_coverage,6
oecd_n_total_initiatives,2
oecd_n_binding,1
oecd_n_nonbinding,1
oecd_n_strategies,0
oecd_n_regulations,1
oecd_n_sectors_covered,1
oecd_n_policy_instruments,1
stanford_fig_4.3.13,4
stanford_fig_4.3.9,0.015
stanford_fig_6.2.1,0
stanford_fig_6.2.15,2
stanford_fig_6.2.16,5
