atributo,valor
iso3,VNM
country_name,Vietnam
region,SE Asia
income_group,LM
iapp_jurisdiction_iapp,Vietnam
iapp_has_ai_law,0
iapp_regulatory_approach,strategy_led
iapp_regulatory_intensity,4
iapp_enforcement_level,low
iapp_thematic_coverage,6
iapp_evidence_summary,"National Strategy on AI Development 2021, Decree 13/2023/ND-CP on data protection, National Digital Transformation Program"
iapp_source,IAPP_Global_AI_Law_Policy_Tracker
iapp_source_date,2026-02
oxford_readiness_score,59.98
oxford_rank,45
oxford_pillar_policy_capacity,53.5
oxford_pillar_ai_infrastructure,57.41
oxford_pillar_governance,88.05
oxford_pillar_public_sector_adoption,73.21
oxford_pillar_development_and_diffusion,47.03
oxford_pillar_resilience,43.28
oxford_dimension_compute_capacity,10.66
oxford_dimension_policy_vision,40.0
oxford_dimension_e_government_delivery,84.2
oxford_dimension_safety_and_security,33.33
ms_ai_user_share_h1_2025,21.2
ms_ai_user_share_h2_2025,23.5
ms_ai_user_share_change_pp,2.3
fh_country_name,Vietnam
fh_fh_status,NF
fh_fh_total_score,19
fh_fh_pr_score,3
fh_fh_cl_score,16
fh_fh_year,2025
fh_notes,Data year 2024
gdpr_country_name,Vietnam
gdpr_has_gdpr_like_law,1
gdpr_gdpr_similarity_level,2
gdpr_dp_law_name,Personal Data Protection Decree 13/2023
gdpr_dp_law_year,2023
gdpr_has_dpa,0
gdpr_eu_status,none
gdpr_enforcement_active,0
gdpr_notes,Decree effective July 2023; full PDP Law expected 2025-2026; MPS enforcement
legal_origin,Socialist
is_common_law,0
wipo_gii_score,37.0799641407315
wipo_gii_rank,44
wipo_income_group_wipo,LM
wipo_region_un,"South East Asia, East Asia, and Oceania"
wipo_ppp_per_capita,16193.27
wipo_population_thousands,100987.68
wipo_business_environment,57.260130620312
wipo_business_sophistication,31.3823101134691
wipo_creative_goods_and_services,35.8214617608397
wipo_creative_outputs,38.1800821899485
wipo_credit,31.6636200348759
wipo_ecological_sustainability,22.9576594056807
wipo_education,45.2719428901256
wipo_general_infrastructure,41.1470893876393
wipo_human_capital_and_research,29.3233125690671
wipo_information_and_communication_technologies_icts,70.5738728361774
wipo_infrastructure,44.8928738764992
wipo_innovation_inputs,39.0182116314249
wipo_innovation_linkages,32.1790109065797
wipo_innovation_outputs,33.3444587779872
wipo_institutional_environment,59.2830560570262
wipo_institutions,50.4868319471846
wipo_intangible_assets,42.5931369386424
wipo_investment,14.4092616849623
wipo_knowledge_absorption,35.5558581705824
wipo_knowledge_and_technology_outputs,28.508835366026
wipo_knowledge_creation,9.72999255454051
wipo_knowledge_diffusion,32.4768040597143
wipo_knowledge_impact,43.3197094838231
wipo_knowledge_workers,26.4120612632452
wipo_market_sophistication,39.0057296509047
wipo_online_creativity,31.7125931216696
wipo_regulatory_environment,34.9173091642158
wipo_research_and_development_r_d,19.1973448922076
wipo_tertiary_education,23.500649924868
wipo_trade_diversification_and_market_scale,70.9443072328761
wb_gdp_per_capita_ppp_2024,16385.5065565458
wb_rd_expenditure_2021,0.42494
wb_internet_penetration_2024,84.15
wb_tertiary_education_2024,37.5923642016718
wb_government_effectiveness_2023,0.126466900110245
wb_regulatory_quality_2023,-0.382607728242874
wb_rule_of_law_2023,-0.0854718759655952
wb_control_of_corruption_2023,-0.415814280509949
wb_voice_accountability_2023,-1.24185371398926
wb_political_stability_2023,-0.0363807342946529
wb_gdp_current_usd_2024,476388230307.175
wb_population_2024,100987686.0
wb_labor_force_2024,56703936.0
wb_fdi_net_inflows_2024,20170000000.0
wb_exports_pct_gdp_2024,90.1542210476659
wb_inflation_consumer_prices_2024,3.62109273885843
wb_unemployment_rate_2024,1.602
wb_education_expenditure_pct_gdp_2022,2.88738689372749
wb_mobile_subscriptions_per100_2023,130.991
wb_patent_applications_residents_2021,1066.0
wb_high_tech_exports_pct,40.4334300320093
oecd_year,2024
oecd_has_ai_law,0
oecd_regulatory_approach,strategy_led
oecd_regulatory_intensity,4
oecd_enforcement_level,none
oecd_thematic_coverage,15
oecd_n_total_initiatives,5
oecd_n_binding,0
oecd_n_nonbinding,4
oecd_n_strategies,1
oecd_n_regulations,0
oecd_n_sectors_covered,1
oecd_n_policy_instruments,1
stanford_fig_4.3.12,2
stanford_fig_4.3.13,15
stanford_fig_4.3.8,0.0085
stanford_fig_4.3.9,0.3139
stanford_fig_6.2.1,0
