atributo,valor
iso3,ZAF
country_name,South Africa
region,Sub-Saharan Africa
income_group,UM
iapp_jurisdiction_iapp,Additional research (ZAF)
iapp_has_ai_law,0
iapp_regulatory_approach,strategy_led
iapp_regulatory_intensity,3
iapp_enforcement_level,low
iapp_thematic_coverage,5
iapp_evidence_summary,"Presidential Commission on 4IR, AI Institute, draft AI policy framework, UNESCO AI ethics adopted, no binding AI law."
iapp_source,IAPP_supplementary_research
iapp_source_date,2026-02
oxford_readiness_score,53.94
oxford_rank,65
oxford_pillar_policy_capacity,43.0
oxford_pillar_ai_infrastructure,60.05
oxford_pillar_governance,76.58
oxford_pillar_public_sector_adoption,64.93
oxford_pillar_development_and_diffusion,37.28
oxford_pillar_resilience,40.81
oxford_dimension_compute_capacity,29.64
oxford_dimension_policy_vision,70.0
oxford_dimension_e_government_delivery,88.68
oxford_dimension_safety_and_security,43.0
ms_ai_user_share_h1_2025,19.3
ms_ai_user_share_h2_2025,21.1
ms_ai_user_share_change_pp,1.8
fh_country_name,South Africa
fh_fh_status,F
fh_fh_total_score,79
fh_fh_pr_score,33
fh_fh_cl_score,46
fh_fh_year,2025
fh_notes,Data year 2024
gdpr_country_name,South Africa
gdpr_has_gdpr_like_law,1
gdpr_gdpr_similarity_level,2
gdpr_dp_law_name,Protection of Personal Information Act (POPIA)
gdpr_dp_law_year,2013
gdpr_has_dpa,1
gdpr_eu_status,none
gdpr_enforcement_active,1
gdpr_notes,Effective July 2021; Information Regulator active enforcement
legal_origin,English
is_common_law,1
wipo_gii_score,30.1382792250188
wipo_gii_rank,61
wipo_income_group_wipo,UM
wipo_region_un,Sub-Saharan Africa
wipo_ppp_per_capita,15723.25
wipo_population_thousands,64007.19
wipo_business_environment,25.2227547547414
wipo_business_sophistication,28.5529484196885
wipo_creative_goods_and_services,7.17569557759013
wipo_creative_outputs,25.2603117570445
wipo_credit,27.8678275641272
wipo_ecological_sustainability,8.92023324983291
wipo_education,48.6676909962197
wipo_general_infrastructure,29.9727139639604
wipo_human_capital_and_research,26.8018521889666
wipo_information_and_communication_technologies_icts,72.403549612013
wipo_infrastructure,37.0988322752688
wipo_innovation_inputs,33.363045382847
wipo_innovation_linkages,30.9643910010484
wipo_innovation_outputs,23.3113853640242
wipo_institutional_environment,43.6882200285788
wipo_institutions,36.532907443784
wipo_intangible_assets,34.9036435559906
wipo_investment,33.9002716663335
wipo_knowledge_absorption,32.8623698310039
wipo_knowledge_and_technology_outputs,21.362458971004
wipo_knowledge_creation,22.3639582430773
wipo_knowledge_diffusion,14.0811149953733
wipo_knowledge_impact,27.6423036745612
wipo_knowledge_workers,21.8320844270133
wipo_market_sophistication,37.8286865865272
wipo_online_creativity,24.0582643386067
wipo_regulatory_environment,40.6877475480318
wipo_research_and_development_r_d,14.0102468852604
wipo_tertiary_education,17.7276186854197
wipo_trade_diversification_and_market_scale,51.7179605291207
wb_gdp_per_capita_ppp_2024,15456.1989933658
wb_rd_expenditure_2022,0.61729
wb_internet_penetration_2023,75.6592
wb_tertiary_education_2023,23.493768799339
wb_government_effectiveness_2023,-0.256946682929993
wb_regulatory_quality_2023,-0.223697945475578
wb_rule_of_law_2023,0.0862350836396217
wb_control_of_corruption_2023,-0.284670442342758
wb_voice_accountability_2023,0.744892179965973
wb_political_stability_2023,-0.665642023086548
wb_gdp_current_usd_2024,401144998373.585
wb_population_2024,64007187.0
wb_labor_force_2024,26362253.0
wb_fdi_net_inflows_2024,2330218039.32031
wb_exports_pct_gdp_2024,31.7919070646303
wb_inflation_consumer_prices_2024,4.36115246518962
wb_unemployment_rate_2024,32.279
wb_education_expenditure_pct_gdp_2024,6.02110004425049
wb_mobile_subscriptions_per100_2023,171.509
wb_patent_applications_residents_2021,1804.0
wb_high_tech_exports_pct,4.89552263425361
wb_ict_service_exports_pct,4.34525101444262
oecd_year,2024
oecd_has_ai_law,0
oecd_regulatory_approach,light_touch
oecd_regulatory_intensity,4
oecd_enforcement_level,medium
oecd_thematic_coverage,2
oecd_n_total_initiatives,5
oecd_n_binding,0
oecd_n_nonbinding,3
oecd_n_strategies,0
oecd_n_regulations,1
oecd_n_sectors_covered,1
oecd_n_policy_instruments,1
stanford_fig_4.2.13,24.24%
stanford_fig_4.2.14,1/1/18
stanford_fig_4.2.15,0.62
stanford_fig_4.2.16,Female
stanford_fig_4.2.17,0.31%
stanford_fig_4.2.18,74%
stanford_fig_4.2.19,2016
stanford_fig_4.2.21,2016
stanford_fig_4.2.22,-0.22
stanford_fig_4.2.23,1/1/19
stanford_fig_4.3.12,4
stanford_fig_4.3.13,20
stanford_fig_4.3.8,0.017985041
stanford_fig_4.3.9,0.226762699
stanford_fig_1.2.4,0.03163937
stanford_fig_6.2.1,0
stanford_fig_6.2.15,26
stanford_fig_6.2.16,88
