var_1,var_2,r,abs_r
oxford_readiness_score,oxford_rank,-0.99,0.99
iapp_regulatory_intensity,iapp_thematic_coverage,0.964,0.964
wipo_gii_score,wipo_gii_rank,-0.962,0.962
iapp_regulatory_intensity,iapp_enforcement_ordinal,0.96,0.96
iapp_thematic_coverage,iapp_enforcement_ordinal,0.958,0.958
wipo_institutional_environment,wipo_institutions,0.958,0.958
wipo_gii_score,wipo_business_sophistication,0.939,0.939
iapp_has_ai_law,iapp_regulatory_intensity,0.934,0.934
oxford_readiness_score,oxford_pillar_development_and_diffusion,0.924,0.924
oxford_rank,oxford_pillar_development_and_diffusion,-0.905,0.905
oxford_pillar_resilience,oxford_dimension_safety_and_security,0.891,0.891
gdpr_has_dpa,gdpr_enforcement_active,0.886,0.886
oxford_pillar_ai_infrastructure,oxford_pillar_development_and_diffusion,0.88,0.88
wipo_gii_rank,wipo_infrastructure,-0.874,0.874
oxford_readiness_score,oxford_pillar_ai_infrastructure,0.874,0.874
wipo_gii_rank,wipo_business_sophistication,-0.871,0.871
iapp_regulatory_intensity,iapp_approach_ordinal,0.865,0.865
oxford_pillar_policy_capacity,oxford_dimension_policy_vision,0.864,0.864
oxford_pillar_ai_infrastructure,oxford_dimension_compute_capacity,0.863,0.863
oxford_rank,oxford_pillar_governance,-0.86,0.86
iapp_has_ai_law,iapp_enforcement_ordinal,0.859,0.859
iapp_approach_ordinal,iapp_enforcement_ordinal,0.857,0.857
wipo_gii_score,wipo_infrastructure,0.851,0.851
oxford_pillar_public_sector_adoption,oxford_dimension_e_government_delivery,0.847,0.847
oxford_rank,oxford_pillar_ai_infrastructure,-0.842,0.842
oxford_readiness_score,oxford_pillar_governance,0.842,0.842
iapp_has_ai_law,iapp_thematic_coverage,0.832,0.832
oxford_pillar_development_and_diffusion,wipo_gii_score,0.829,0.829
oxford_pillar_ai_infrastructure,wipo_gii_rank,-0.828,0.828
oxford_pillar_ai_infrastructure,wipo_gii_score,0.828,0.828
iapp_thematic_coverage,iapp_approach_ordinal,0.822,0.822
wipo_gii_score,wipo_institutional_environment,0.818,0.818
wipo_gii_rank,wipo_institutional_environment,-0.818,0.818
iapp_has_ai_law,iapp_approach_ordinal,0.818,0.818
oxford_readiness_score,oxford_dimension_policy_vision,0.814,0.814
oxford_readiness_score,oxford_pillar_resilience,0.813,0.813
oxford_rank,oxford_pillar_policy_capacity,-0.813,0.813
oxford_readiness_score,oxford_pillar_policy_capacity,0.81,0.81
oxford_pillar_development_and_diffusion,oxford_dimension_compute_capacity,0.807,0.807
oxford_rank,oxford_dimension_policy_vision,-0.807,0.807
oxford_readiness_score,wipo_gii_score,0.801,0.801
oxford_rank,wipo_gii_rank,0.797,0.797
oxford_rank,oxford_pillar_resilience,-0.796,0.796
wipo_infrastructure,wipo_institutional_environment,0.796,0.796
oxford_readiness_score,wipo_gii_rank,-0.795,0.795
wipo_gii_score,wipo_institutions,0.793,0.793
oxford_rank,wipo_gii_score,-0.791,0.791
oxford_pillar_development_and_diffusion,wipo_gii_rank,-0.789,0.789
income_ordinal,wipo_institutional_environment,0.787,0.787
wipo_business_sophistication,wipo_institutional_environment,0.78,0.78
oxford_pillar_development_and_diffusion,wipo_business_sophistication,0.774,0.774
wipo_business_sophistication,wipo_infrastructure,0.771,0.771
wipo_ppp_per_capita,wipo_institutional_environment,0.771,0.771
oxford_pillar_ai_infrastructure,wipo_business_sophistication,0.768,0.768
income_ordinal,wipo_ppp_per_capita,0.767,0.767
wipo_gii_rank,wipo_institutions,-0.766,0.766
wipo_business_sophistication,wipo_institutions,0.76,0.76
wipo_ppp_per_capita,wipo_business_sophistication,0.755,0.755
iapp_thematic_coverage,wipo_gii_rank,-0.754,0.754
wipo_gii_score,wipo_ppp_per_capita,0.753,0.753
wipo_ppp_per_capita,wipo_institutions,0.752,0.752
income_ordinal,wipo_infrastructure,0.75,0.75
oxford_pillar_ai_infrastructure,wipo_infrastructure,0.747,0.747
oxford_rank,oxford_pillar_public_sector_adoption,-0.743,0.743
oxford_readiness_score,wipo_business_sophistication,0.743,0.743
wipo_gii_rank,wipo_ppp_per_capita,-0.738,0.738
oxford_pillar_development_and_diffusion,oxford_pillar_resilience,0.738,0.738
iapp_regulatory_intensity,gdpr_gdpr_similarity_level,0.737,0.737
oxford_readiness_score,oxford_pillar_public_sector_adoption,0.737,0.737
oxford_pillar_governance,oxford_pillar_development_and_diffusion,0.734,0.734
oxford_pillar_development_and_diffusion,oxford_dimension_policy_vision,0.734,0.734
oxford_rank,wipo_infrastructure,-0.731,0.731
iapp_enforcement_ordinal,wipo_gii_rank,-0.73,0.73
oxford_rank,wipo_business_sophistication,-0.726,0.726
iapp_thematic_coverage,gdpr_gdpr_similarity_level,0.725,0.725
oxford_readiness_score,wipo_infrastructure,0.725,0.725
wipo_infrastructure,wipo_institutions,0.725,0.725
iapp_thematic_coverage,oxford_rank,-0.724,0.724
iapp_thematic_coverage,wipo_gii_score,0.72,0.72
oxford_readiness_score,oxford_dimension_compute_capacity,0.719,0.719
oxford_pillar_resilience,oxford_dimension_policy_vision,0.718,0.718
iapp_thematic_coverage,oxford_readiness_score,0.717,0.717
wipo_ppp_per_capita,wipo_infrastructure,0.715,0.715
iapp_enforcement_ordinal,gdpr_gdpr_similarity_level,0.712,0.712
income_ordinal,wipo_institutions,0.712,0.712
iapp_enforcement_ordinal,oxford_rank,-0.707,0.707
oxford_pillar_governance,wipo_gii_rank,-0.705,0.705
income_ordinal,wipo_gii_rank,-0.7,0.7
oxford_dimension_policy_vision,oxford_dimension_safety_and_security,0.694,0.694
iapp_thematic_coverage,oxford_pillar_governance,0.693,0.693
oxford_pillar_governance,wipo_gii_score,0.692,0.692
oxford_pillar_governance,oxford_pillar_resilience,0.692,0.692
iapp_thematic_coverage,wipo_infrastructure,0.691,0.691
iapp_enforcement_ordinal,oxford_pillar_governance,0.691,0.691
iapp_enforcement_ordinal,oxford_readiness_score,0.689,0.689
iapp_enforcement_ordinal,wipo_gii_score,0.686,0.686
oxford_pillar_resilience,wipo_gii_score,0.685,0.685
wipo_infrastructure,gdpr_gdpr_similarity_level,0.681,0.681
iapp_enforcement_ordinal,wipo_infrastructure,0.68,0.68
iapp_thematic_coverage,oxford_pillar_resilience,0.677,0.677
income_ordinal,wipo_gii_score,0.677,0.677
oxford_readiness_score,oxford_dimension_safety_and_security,0.677,0.677
iapp_regulatory_intensity,wipo_gii_rank,-0.676,0.676
iapp_has_ai_law,gdpr_gdpr_similarity_level,0.675,0.675
oxford_pillar_resilience,wipo_business_sophistication,0.671,0.671
oxford_pillar_policy_capacity,oxford_pillar_development_and_diffusion,0.667,0.667
oxford_pillar_policy_capacity,oxford_pillar_resilience,0.667,0.667
oxford_rank,oxford_dimension_compute_capacity,-0.665,0.665
income_ordinal,gdpr_gdpr_similarity_level,0.661,0.661
oxford_pillar_ai_infrastructure,oxford_pillar_resilience,0.658,0.658
iapp_thematic_coverage,wipo_business_sophistication,0.653,0.653
oxford_dimension_compute_capacity,wipo_gii_score,0.651,0.651
oxford_rank,oxford_dimension_safety_and_security,-0.649,0.649
oxford_pillar_resilience,wipo_gii_rank,-0.648,0.648
oxford_pillar_development_and_diffusion,wipo_infrastructure,0.645,0.645
iapp_regulatory_intensity,wipo_infrastructure,0.645,0.645
iapp_enforcement_ordinal,oxford_pillar_resilience,0.645,0.645
income_ordinal,wipo_business_sophistication,0.644,0.644
oxford_pillar_policy_capacity,oxford_pillar_governance,0.643,0.643
oxford_pillar_policy_capacity,oxford_dimension_safety_and_security,0.64,0.64
iapp_approach_ordinal,oxford_pillar_governance,0.64,0.64
oxford_pillar_ai_infrastructure,oxford_pillar_governance,0.639,0.639
iapp_regulatory_intensity,wipo_gii_score,0.638,0.638
wipo_institutional_environment,gdpr_gdpr_similarity_level,0.638,0.638
wipo_gii_rank,gdpr_gdpr_similarity_level,-0.636,0.636
oxford_pillar_ai_infrastructure,wipo_institutional_environment,0.631,0.631
iapp_regulatory_intensity,oxford_pillar_governance,0.63,0.63
iapp_thematic_coverage,oxford_pillar_ai_infrastructure,0.627,0.627
iapp_thematic_coverage,oxford_pillar_development_and_diffusion,0.627,0.627
oxford_pillar_ai_infrastructure,wipo_ppp_per_capita,0.625,0.625
oxford_pillar_ai_infrastructure,oxford_dimension_policy_vision,0.625,0.625
oxford_dimension_compute_capacity,wipo_business_sophistication,0.618,0.618
oxford_pillar_development_and_diffusion,oxford_dimension_safety_and_security,0.618,0.618
iapp_regulatory_intensity,oxford_rank,-0.614,0.614
oxford_pillar_governance,oxford_dimension_policy_vision,0.613,0.613
oxford_pillar_governance,wipo_business_sophistication,0.612,0.612
oxford_pillar_resilience,wipo_infrastructure,0.611,0.611
iapp_enforcement_ordinal,wipo_business_sophistication,0.61,0.61
oxford_pillar_ai_infrastructure,wipo_institutions,0.606,0.606
iapp_approach_ordinal,oxford_rank,-0.605,0.605
wipo_gii_score,gdpr_gdpr_similarity_level,0.604,0.604
oxford_readiness_score,wipo_institutions,0.601,0.601
iapp_regulatory_intensity,oxford_readiness_score,0.6,0.6
iapp_enforcement_ordinal,oxford_pillar_development_and_diffusion,0.598,0.598
oxford_pillar_governance,wipo_infrastructure,0.598,0.598
oxford_rank,oxford_dimension_e_government_delivery,-0.598,0.598
oxford_readiness_score,wipo_institutional_environment,0.597,0.597
oxford_rank,wipo_institutions,-0.597,0.597
iapp_thematic_coverage,income_ordinal,0.596,0.596
oxford_rank,wipo_institutional_environment,-0.595,0.595
oxford_pillar_development_and_diffusion,wipo_institutions,0.595,0.595
iapp_enforcement_ordinal,wipo_ppp_per_capita,0.594,0.594
iapp_thematic_coverage,wipo_ppp_per_capita,0.594,0.594
oxford_readiness_score,wipo_ppp_per_capita,0.592,0.592
oxford_dimension_compute_capacity,wipo_gii_rank,-0.592,0.592
wipo_ppp_per_capita,gdpr_gdpr_similarity_level,0.591,0.591
iapp_regulatory_intensity,oxford_pillar_resilience,0.591,0.591
iapp_enforcement_ordinal,income_ordinal,0.591,0.591
oxford_pillar_governance,oxford_pillar_public_sector_adoption,0.59,0.59
iapp_enforcement_ordinal,oxford_pillar_ai_infrastructure,0.589,0.589
oxford_rank,wipo_ppp_per_capita,-0.588,0.588
oxford_readiness_score,oxford_dimension_e_government_delivery,0.587,0.587
oxford_dimension_policy_vision,wipo_business_sophistication,0.586,0.586
oxford_pillar_policy_capacity,oxford_pillar_public_sector_adoption,0.583,0.583
oxford_pillar_ai_infrastructure,income_ordinal,0.583,0.583
iapp_regulatory_intensity,income_ordinal,0.579,0.579
iapp_thematic_coverage,wipo_institutional_environment,0.578,0.578
iapp_approach_ordinal,gdpr_gdpr_similarity_level,0.577,0.577
iapp_regulatory_intensity,wipo_business_sophistication,0.576,0.576
iapp_approach_ordinal,oxford_readiness_score,0.575,0.575
iapp_regulatory_intensity,wipo_ppp_per_capita,0.569,0.569
oxford_pillar_development_and_diffusion,wipo_ppp_per_capita,0.568,0.568
oxford_dimension_policy_vision,wipo_gii_score,0.568,0.568
oxford_pillar_development_and_diffusion,wipo_institutional_environment,0.568,0.568
oxford_dimension_policy_vision,wipo_gii_rank,-0.563,0.563
oxford_pillar_resilience,oxford_dimension_compute_capacity,0.562,0.562
oxford_dimension_compute_capacity,oxford_dimension_policy_vision,0.561,0.561
iapp_approach_ordinal,oxford_dimension_e_government_delivery,0.559,0.559
oxford_dimension_compute_capacity,oxford_dimension_safety_and_security,0.557,0.557
oxford_pillar_ai_infrastructure,oxford_pillar_public_sector_adoption,0.555,0.555
oxford_pillar_governance,gdpr_gdpr_similarity_level,0.549,0.549
oxford_pillar_policy_capacity,oxford_pillar_ai_infrastructure,0.548,0.548
wipo_business_sophistication,gdpr_gdpr_similarity_level,0.547,0.547
oxford_pillar_public_sector_adoption,wipo_infrastructure,0.547,0.547
oxford_pillar_public_sector_adoption,oxford_dimension_policy_vision,0.544,0.544
oxford_pillar_governance,oxford_dimension_safety_and_security,0.541,0.541
iapp_enforcement_ordinal,wipo_institutional_environment,0.534,0.534
iapp_thematic_coverage,oxford_pillar_policy_capacity,0.531,0.531
oxford_pillar_resilience,gdpr_gdpr_similarity_level,0.526,0.526
iapp_approach_ordinal,wipo_infrastructure,0.524,0.524
wipo_institutions,gdpr_gdpr_similarity_level,0.524,0.524
iapp_has_ai_law,wipo_infrastructure,0.523,0.523
iapp_has_ai_law,wipo_gii_rank,-0.523,0.523
oxford_pillar_resilience,wipo_institutional_environment,0.523,0.523
gdpr_has_gdpr_like_law,gdpr_has_dpa,0.522,0.522
oxford_pillar_governance,oxford_dimension_e_government_delivery,0.52,0.52
iapp_enforcement_ordinal,oxford_pillar_policy_capacity,0.52,0.52
iapp_approach_ordinal,wipo_gii_rank,-0.52,0.52
oxford_pillar_governance,wipo_ppp_per_capita,0.519,0.519
oxford_pillar_resilience,wipo_ppp_per_capita,0.517,0.517
oxford_pillar_public_sector_adoption,oxford_pillar_development_and_diffusion,0.515,0.515
oxford_pillar_governance,wipo_institutional_environment,0.514,0.514
iapp_regulatory_intensity,wipo_institutional_environment,0.512,0.512
