iso3,variable,valor,z_score,percentil
PAK,gdpr_has_gdpr_like_law,0.0,-5.07,2.5
USA,gdpr_has_gdpr_like_law,0.0,-5.07,2.5
CMR,gdpr_has_gdpr_like_law,0.0,-5.07,2.5
BRB,oxford_dimension_e_government_delivery,12.44,-4.13,1.2
USA,oxford_dimension_compute_capacity,90.92,4.11,100.0
LUX,wipo_ppp_per_capita,151145.79,3.73,100.0
BRB,oxford_pillar_public_sector_adoption,6.22,-3.7,1.2
CHN,oxford_dimension_compute_capacity,80.66,3.52,98.8
USA,oxford_pillar_ai_infrastructure,91.77,3.28,100.0
BRB,oxford_rank,155.0,3.25,100.0
IRL,wipo_ppp_per_capita,127750.16,2.91,98.8
USA,oxford_pillar_development_and_diffusion,88.16,2.88,100.0
BRB,oxford_readiness_score,23.33,-2.87,1.2
SYC,iapp_approach_ordinal,0.0,-2.82,2.5
BRB,iapp_approach_ordinal,0.0,-2.82,2.5
CMR,iapp_approach_ordinal,0.0,-2.82,2.5
SYC,oxford_rank,140.0,2.79,98.8
CMR,oxford_dimension_e_government_delivery,34.97,-2.78,2.5
CMR,oxford_pillar_public_sector_adoption,22.49,-2.77,2.5
BLR,oxford_pillar_public_sector_adoption,24.03,-2.68,3.8
MNG,gdpr_enforcement_active,0.0,-2.65,6.9
IDN,gdpr_enforcement_active,0.0,-2.65,6.9
USA,gdpr_has_dpa,0.0,-2.65,6.9
VNM,gdpr_has_dpa,0.0,-2.65,6.9
BGD,gdpr_enforcement_active,0.0,-2.65,6.9
JOR,gdpr_has_dpa,0.0,-2.65,6.9
EGY,gdpr_has_dpa,0.0,-2.65,6.9
IDN,gdpr_has_dpa,0.0,-2.65,6.9
IND,gdpr_has_dpa,0.0,-2.65,6.9
PAK,gdpr_has_dpa,0.0,-2.65,6.9
MNG,gdpr_has_dpa,0.0,-2.65,6.9
BGD,gdpr_has_dpa,0.0,-2.65,6.9
CMR,gdpr_has_dpa,0.0,-2.65,6.9
VNM,gdpr_enforcement_active,0.0,-2.65,6.9
JOR,gdpr_enforcement_active,0.0,-2.65,6.9
SYC,gdpr_enforcement_active,0.0,-2.65,6.9
PAK,gdpr_enforcement_active,0.0,-2.65,6.9
CMR,gdpr_enforcement_active,0.0,-2.65,6.9
IND,gdpr_enforcement_active,0.0,-2.65,6.9
EGY,gdpr_enforcement_active,0.0,-2.65,6.9
SYC,oxford_pillar_governance,39.66,-2.63,1.2
SYC,oxford_readiness_score,27.24,-2.57,2.5
BRB,oxford_pillar_governance,40.75,-2.55,2.5
PAK,gdpr_gdpr_similarity_level,1.0,-2.54,2.5
CMR,gdpr_gdpr_similarity_level,1.0,-2.54,2.5
USA,gdpr_gdpr_similarity_level,1.0,-2.54,2.5
SYC,oxford_pillar_policy_capacity,8.0,-2.52,1.2
SYC,oxford_pillar_public_sector_adoption,26.98,-2.51,5.0
SVK,oxford_dimension_policy_vision,10.0,-2.51,1.2
