iso3,iapp_has_ai_law,iapp_regulatory_intensity,iapp_thematic_coverage,iapp_approach_ordinal,iapp_enforcement_ordinal,oxford_readiness_score,oxford_rank,oxford_pillar_policy_capacity,oxford_pillar_ai_infrastructure,oxford_pillar_governance,oxford_pillar_public_sector_adoption,oxford_pillar_development_and_diffusion,oxford_pillar_resilience,oxford_dimension_compute_capacity,oxford_dimension_policy_vision,oxford_dimension_e_government_delivery,oxford_dimension_safety_and_security,gdpr_has_gdpr_like_law,gdpr_has_dpa,gdpr_enforcement_active,is_common_law,income_ordinal,wipo_gii_score,wipo_gii_rank,wipo_ppp_per_capita,wipo_business_sophistication,wipo_infrastructure,wipo_institutional_environment,wipo_institutions,gdpr_gdpr_similarity_level
ARE,0,5,9,2,2,69.86,19,73.0,73.77,72.5,97.27,57.34,43.15,40.49,70.0,97.91,33.33,1,1,1,1,2,44.1544888281242,30.0,77251.44,49.8665141206488,55.33013820084,78.3005178514408,79.8750524051509,2.0
ARG,0,4,8,2,1,58.25,56,73.0,50.26,84.69,71.06,32.09,70.03,11.28,70.0,86.41,93.0,1,1,1,0,1,26.7779545767115,77.0,28704.1,27.7252245327739,36.7065803113273,37.2973676310594,21.7106269408907,3.0
ARM,0,1,2,1,0,38.95,103,27.0,41.02,56.75,57.4,24.37,27.75,3.29,30.0,69.81,15.33,1,1,1,0,1,30.448190677743,59.0,23376.23,22.7010654679433,36.2485765656234,45.8879485743954,44.1385162901005,2.0
AUS,0,5,11,2,2,75.73,9,100.0,70.02,79.04,82.67,62.7,82.94,40.81,100.0,81.3,100.0,1,1,1,1,2,48.0058166127025,22.0,69475.41,48.1578921004856,55.4129430160688,83.9564807771533,76.9557473020728,2.0
AUT,1,10,14,3,3,69.72,20,66.0,61.39,87.0,81.6,58.06,79.69,17.43,90.0,95.96,86.67,1,1,1,0,2,50.0967566107785,19.0,73050.85,50.9687640424589,56.7648035249097,80.4615734230202,74.7216181942958,3.0
BEL,1,10,14,3,3,65.17,30,85.0,58.83,80.0,72.0,49.84,67.05,17.2,100.0,84.56,66.67,1,1,1,0,2,48.463340688029,21.0,73221.64,56.3083704381209,48.9385223940126,76.0229948356829,72.3639001952941,3.0
BGD,0,2,4,2,1,48.37,75,69.0,39.02,63.93,82.78,26.97,29.64,8.31,60.0,93.44,33.33,1,0,0,1,0,20.951047653279,106.0,9840.47,13.4922732972065,34.0989525687289,30.7001106265776,30.4486154676582,2.0
BGR,1,10,14,3,3,56.6,59,65.0,53.93,71.25,64.66,39.78,62.86,10.39,50.0,94.32,66.67,1,1,1,0,1,39.0927629267023,37.0,39185.32,32.1342592452907,54.4414892695736,50.4550833584899,41.8467531152417,3.0
BHR,0,2,3,2,1,59.57,48,46.5,58.04,72.5,83.37,48.5,49.08,12.12,60.0,80.83,50.0,1,1,1,1,2,30.01576627996,62.0,65344.83,22.7800407835956,51.0178102253126,61.0211547643777,68.1018626674766,2.0
BLR,0,1,1,1,0,32.47,121,12.0,45.28,43.38,24.03,24.62,36.88,3.29,30.0,47.65,33.33,1,1,1,0,1,25.0990285299842,85.0,32098.48,23.5616473545345,34.4208202153895,25.5437216583999,12.7449752171869,2.0
BRA,0,5,10,2,2,69.55,22,88.0,65.5,78.18,94.78,46.57,67.88,38.57,70.0,97.66,83.33,1,1,1,0,1,32.8689996973019,52.0,22122.71,36.1602384450603,45.4719096513524,42.3189731118759,31.7548078206296,2.0
BRB,0,0,0,0,0,23.33,155,15.5,34.85,40.75,6.22,14.03,25.16,0.0,20.0,12.44,3.33,1,1,1,1,2,25.1250313227345,84.0,22034.88,31.0749218462032,26.4743687361654,64.256351578935,55.0838919444604,2.0
CAN,0,5,11,2,2,74.66,12,92.5,72.32,76.85,78.6,69.03,67.57,44.24,100.0,79.63,66.67,1,1,1,1,2,51.0643545243557,17.0,62765.57,56.8399449800642,54.7294723508288,84.4552686545826,78.1528547766151,3.0
CHE,0,3,7,1,1,66.95,26,39.0,68.97,89.2,73.93,61.41,59.84,31.63,60.0,75.02,33.33,1,1,1,0,2,65.9619514450125,1.0,95836.64,67.2294820524216,60.8172367161856,92.4276969446989,87.7075542853295,3.0
CHN,1,9,13,3,3,76.27,8,92.5,78.36,91.14,49.02,74.67,77.34,80.66,100.0,56.39,100.0,1,1,1,0,1,56.5551447506996,10.0,26309.99,57.9578230548257,62.3585735024028,61.7891801839567,57.5627297338659,2.0
