iso3,iapp_regulatory_intensity,iapp_thematic_coverage,oxford_readiness_score,oxford_rank,oxford_pillar_policy_capacity,oxford_pillar_ai_infrastructure,oxford_pillar_governance,oxford_pillar_public_sector_adoption,oxford_pillar_development_and_diffusion,oxford_pillar_resilience,oxford_dimension_compute_capacity,oxford_dimension_policy_vision,oxford_dimension_e_government_delivery,oxford_dimension_safety_and_security,wipo_gii_score,wipo_gii_rank,wipo_ppp_per_capita,wipo_business_sophistication,wipo_infrastructure,wipo_institutional_environment,wipo_institutions,wipo_knowledge_creation,wipo_knowledge_impact,wipo_knowledge_diffusion,wipo_innovation_outputs,wipo_innovation_inputs,wipo_innovation_linkages,wipo_knowledge_absorption,wipo_knowledge_workers,wipo_creative_outputs,wipo_creative_goods_and_services,wipo_online_creativity,wipo_ecological_sustainability,wipo_general_infrastructure,wipo_education,wipo_credit,wipo_regulatory_environment,wipo_intangible_assets,wipo_market_sophistication,wipo_human_capital_and_research,wipo_business_environment,wipo_knowledge_and_technology_outputs,wipo_population_thousands,wipo_tertiary_education,wb_government_effectiveness_2023,wb_regulatory_quality_2023,wb_rule_of_law_2023,wb_control_of_corruption_2023,wb_political_stability_2023,iapp_has_ai_law,gdpr_has_gdpr_like_law,gdpr_has_dpa,gdpr_enforcement_active,is_common_law,income_ordinal,iapp_approach_ordinal,iapp_enforcement_ordinal,gdpr_eu_status,gdpr_eu_adequacy,gdpr_eu_eea_member,gdpr_eu_eu_member,legal_English,legal_French,legal_German,legal_Scandinavian,legal_Socialist,region_simplified,region_africa,region_asia,region_europe,region_latam,region_mena,region_north_america,region_other,region_south_asia
ARE,5,9,69.86,19,73.0,73.77,72.5,97.27,57.34,43.15,40.49,70.0,97.91,33.33,44.1544888281242,30.0,77251.44,49.8665141206488,55.33013820084,78.3005178514408,79.8750524051509,7.93803387767057,33.2370464692182,28.1885909594944,27.9434048447325,57.6646076406426,51.8962415760228,42.5385884186588,55.1647123672648,32.7655859206705,27.4301842067468,32.6732464045385,15.9120433177815,60.2980649126728,56.2260662616119,53.4693358098661,68.4230898986806,35.4794565356984,48.8941009618319,54.3572325147415,92.9015494653313,23.1212237687944,11027.13,70.1859283796919,1.60428190231323,1.04239141941071,0.881900131702423,1.07366383075714,0.677530944347382,0,1,1,1,1,2,2,2,none,0,0,0,1,0,0,0,0,mena,0,0,0,0,1,0,0,0
ARG,4,8,58.25,56,73.0,50.26,84.69,71.06,32.09,70.03,11.28,70.0,86.41,93.0,26.7779545767115,77.0,28704.1,27.7252245327739,36.7065803113273,37.2973676310594,21.7106269408907,13.2330341036325,24.8625310391758,17.5855970678852,24.231894870327,28.6173974163559,17.5632217361022,33.9035812004215,31.708870661798,29.9034023370895,17.7860197287765,29.8154099605964,15.8325938068554,17.9295594315273,44.6062969853314,12.129436478298,26.7820171341801,36.0060898294926,22.9954457922822,33.9491095045056,1.05249605743252,18.5603874035645,45696.16,32.7039401021687,-0.377517342567444,-0.482535392045975,-0.410826534032822,-0.360883951187134,-0.127517908811569,0,1,1,1,0,1,2,1,adequacy,1,0,0,0,1,0,0,0,latam,0,0,0,1,0,0,0,0
AUS,5,11,75.73,9,100.0,70.02,79.04,82.67,62.7,82.94,40.81,100.0,81.3,100.0,48.0058166127025,22.0,69475.41,48.1578921004856,55.4129430160688,83.9564807771533,76.9557473020728,46.2759866537401,36.9083268801561,16.2168520667107,37.5928894766086,58.5992885219131,50.2563922725835,29.2909362454819,64.9263477833914,42.0520570863482,24.4363398413852,58.984010872034,23.9819925604223,47.0344512851236,61.7140425489604,54.8771766003654,89.375962730432,42.3939388159869,53.7680272593473,58.7018329315909,57.5347983986332,33.133721866869,26713.21,54.0876390140441,1.58987963199615,1.94220554828644,1.52318394184113,1.78120493888855,0.91705721616745,0,1,1,1,1,2,2,2,none,0,0,0,1,0,0,0,0,asia,0,1,0,0,0,0,0,0
AUT,10,14,69.72,20,66.0,61.39,87.0,81.6,58.06,79.69,17.43,90.0,95.96,86.67,50.0967566107785,19.0,73050.85,50.9687640424589,56.7648035249097,80.4615734230202,74.7216181942958,43.1794612658961,45.6954613704426,36.5222709629393,43.1452763626708,57.4078594634892,52.0885754828327,43.6271118134843,57.1906048310599,44.4914881922488,31.7760280359774,58.3181504861705,32.0751697537467,50.5873337675901,62.8269590530546,46.5621721300121,84.1494810846748,43.9358871234237,45.1899717729567,59.3941397828247,59.5538000751924,41.7990645330927,9120.82,59.7402183172277,1.32668149471283,1.36136972904205,1.74656546115875,1.1336532831192,0.727989196777344,1,1,1,1,0,2,3,3,eu_member,0,0,1,0,0,1,0,0,europe,0,0,1,0,0,0,0,0
BEL,10,14,65.17,30,85.0,58.83,80.0,72.0,49.84,67.05,17.2,100.0,84.56,66.67,48.463340688029,21.0,73221.64,56.3083704381209,48.9385223940126,76.0229948356829,72.3639001952941,48.1521145660754,47.4140915433982,37.0124010183453,41.0479282505649,54.4185612061712,49.4597061476884,42.4008599554029,77.0645452112716,37.9029874585235,29.1007348409675,55.0900614317472,22.4228263177082,52.3628287222789,70.2072209694222,25.5228016979361,78.6344668464273,33.7105767806896,38.221996655335,56.2600163480935,62.4342389037724,44.1928690426063,11738.77,36.6967641729341,1.03702199459076,1.16822481155396,1.29537487030029,1.3368444442749,0.403853088617325,1,1,1,1,0,2,3,3,eu_member,0,0,1,0,1,0,0,0,europe,0,0,1,0,0,0,0,0
BGR,10,14,56.6,59,65.0,53.93,71.25,64.66,39.78,62.86,10.39,50.0,94.32,66.67,39.0927629267023,37.0,39185.32,32.1342592452907,54.4414892695736,50.4550833584899,41.8467531152417,19.0946025971275,30.1772422892073,45.7923572263209,37.2978954635865,39.6805178358231,26.2699644429595,33.0180550858853,37.1147582070272,42.9077235562879,33.3413561577464,38.8790529896122,49.9466603861245,33.480075547249,50.5707428071286,38.037184644635,45.5104280142762,49.7052425388964,37.6906441282065,32.2894434208029,29.574747972959,31.6880673708852,6757.69,35.0201457162096,0.047112051397562,0.40789669752121,-0.0068576806224882,-0.137721657752991,0.341861486434937,1,1,1,1,0,1,3,3,eu_member,0,0,1,0,0,0,0,1,europe,0,0,1,0,0,0,0,0
BRA,5,10,69.55,22,88.0,65.5,78.18,94.78,46.57,67.88,38.57,70.0,97.66,83.33,32.8689996973019,52.0,22122.71,36.1602384450603,45.4719096513524,42.3189731118759,31.7548078206296,20.2476274562809,37.6117384384059,15.534708219787,28.3947982634734,37.0854869633729,22.6057696683912,40.1458323310507,45.7291133357388,32.3249051554556,7.39142940077917,30.2225438141408,26.6274249092658,25.2494787738923,50.5663427096104,20.8189138101957,36.2521716740714,45.8428237034512,38.1881098768259,33.8523690229962,16.6932786759415,24.4646913714913,211998.57,20.4202623532844,-0.546764314174652,-0.29647821187973,-0.308802843093872,-0.503643155097961,-0.408567786216736,0,1,1,1,0,1,2,2,none,0,0,0,0,1,0,0,0,latam,0,0,0,1,0,0,0,0
CAN,5,11,74.66,12,92.5,72.32,76.85,78.6,69.03,67.57,44.24,100.0,79.63,66.67,51.0643545243557,17.0,62765.57,56.8399449800642,54.7294723508288,84.4552686545826,78.1528547766151,46.5719564046657,48.9815741890962,28.5603441950388,42.7461441704136,63.0643938594709,70.0244316070278,46.6615438696893,53.8338594634755,44.1209967445603,32.797410920834,63.2882836591392,18.3695549196172,60.0267011546485,66.2792226851452,63.3338197194843,87.3204378874756,40.199146199134,67.2364611770263,58.36323601282,62.6828577877872,41.3712915962669,39742.43,50.1891320058234,1.51680326461792,1.64471042156219,1.47300565242767,1.67150104045868,0.822420537471771,0,1,1,1,1,2,2,2,adequacy,1,0,0,1,0,0,0,0,north_america,0,0,0,0,0,1,0,0
CHE,3,7,66.95,26,39.0,68.97,89.2,73.93,61.41,59.84,31.63,60.0,75.02,33.33,65.9619514450125,1.0,95836.64,67.2294820524216,60.8172367161856,92.4276969446989,87.7075542853295,78.7102793422055,55.9421584381745,60.6788747429306,66.1220270107369,68.8241363613099,80.3541988522434,50.0875216331418,71.2467256718795,67.1336165137036,59.7148299515865,85.4254798582566,49.9285453522079,50.4312689397685,65.1175693329047,70.7973224980884,89.233277313504,61.6970781224856,66.5266472684035,61.8397614842093,81.4616885977857,65.1104375077702,8921.98,49.9604673863957,2.13492703437805,1.72938001155853,1.76172566413879,2.02199912071228,1.07144391536713,0,1,1,1,0,2,1,1,adequacy,1,0,0,0,0,1,0,0,europe,0,0,1,0,0,0,0,0
CHL,4,8,59.3,50,92.5,57.77,53.54,70.76,45.26,56.46,18.18,100.0,96.53,55.33,33.07,51.0,33574.4,30.52,45.6,62.46,56.32,16.73,35.08,11.65,24.34,40.91,20.11,36.76,34.69,27.53,10.03,27.1,24.51,29.99,50.25,35.87,65.59,36.49,38.59,33.52,40.91,21.15,19764.77,36.13,0.72,0.93,0.63,0.97,0.14,0,1,1,0,0,2,2,1,none,0,0,0,0,1,0,0,0,latam,0,0,0,1,0,0,0,0
