atributo,fuente,valores,n_total,completitud_pct,valores_faltantes
country_name,country,86,86,100.0,0
fh_country_name,fh,84,86,97.7,2
fh_fh_status,fh,84,86,97.7,2
fh_fh_total_score,fh,84,86,97.7,2
fh_fh_pr_score,fh,84,86,97.7,2
fh_fh_cl_score,fh,84,86,97.7,2
fh_fh_year,fh,84,86,97.7,2
fh_notes,fh,84,86,97.7,2
fh_status,fh,2,86,2.3,84
fh_total_score,fh,2,86,2.3,84
fh_political_rights_score,fh,2,86,2.3,84
fh_civil_liberties_score,fh,2,86,2.3,84
fh_year,fh,2,86,2.3,84
gdpr_has_gdpr_like_law,gdpr,86,86,100.0,0
gdpr_has_dpa,gdpr,86,86,100.0,0
gdpr_eu_status,gdpr,86,86,100.0,0
gdpr_enforcement_active,gdpr,86,86,100.0,0
gdpr_country_name,gdpr,84,86,97.7,2
gdpr_gdpr_similarity_level,gdpr,84,86,97.7,2
gdpr_dp_law_name,gdpr,84,86,97.7,2
gdpr_dp_law_year,gdpr,84,86,97.7,2
gdpr_notes,gdpr,84,86,97.7,2
gdpr_similarity_level,gdpr,2,86,2.3,84
gdpr_law_name,gdpr,2,86,2.3,84
gdpr_law_year,gdpr,2,86,2.3,84
iapp_has_ai_law,iapp,86,86,100.0,0
iapp_regulatory_approach,iapp,86,86,100.0,0
iapp_regulatory_intensity,iapp,86,86,100.0,0
iapp_enforcement_level,iapp,86,86,100.0,0
iapp_thematic_coverage,iapp,86,86,100.0,0
iapp_evidence_summary,iapp,86,86,100.0,0
iapp_source,iapp,86,86,100.0,0
iapp_source_date,iapp,86,86,100.0,0
iapp_jurisdiction_iapp,iapp,84,86,97.7,2
iapp_year_enacted,iapp,32,86,37.2,54
income_group,income,86,86,100.0,0
is_common_law,is,86,86,100.0,0
legal_origin,legal,85,86,98.8,1
legal_country_name,legal,1,86,1.2,85
legal_legal_origin,legal,1,86,1.2,85
legal_is_common_law,legal,1,86,1.2,85
legal_source_notes,legal,1,86,1.2,85
ms_ai_user_share_h1_2025,ms,73,86,84.9,13
ms_ai_user_share_h2_2025,ms,73,86,84.9,13
ms_ai_user_share_change_pp,ms,73,86,84.9,13
ms_ai_adoption_h1_2025,ms,2,86,2.3,84
ms_ai_adoption_h2_2025,ms,2,86,2.3,84
ms_ai_adoption_change_pp,ms,2,86,2.3,84
oecd_n_total_initiatives,oecd,68,86,79.1,18
oecd_n_binding,oecd,68,86,79.1,18
oecd_n_nonbinding,oecd,68,86,79.1,18
oecd_n_strategies,oecd,68,86,79.1,18
oecd_n_regulations,oecd,68,86,79.1,18
oecd_n_sectors_covered,oecd,68,86,79.1,18
oecd_n_policy_instruments,oecd,68,86,79.1,18
oecd_year,oecd,66,86,76.7,20
oecd_has_ai_law,oecd,66,86,76.7,20
oecd_regulatory_approach,oecd,66,86,76.7,20
oecd_regulatory_intensity,oecd,66,86,76.7,20
oecd_enforcement_level,oecd,66,86,76.7,20
oecd_thematic_coverage,oecd,66,86,76.7,20
oecd_year_enacted,oecd,40,86,46.5,46
oecd_has_ai_law_2024,oecd,2,86,2.3,84
oecd_regulatory_approach_2024,oecd,2,86,2.3,84
oecd_regulatory_intensity_2024,oecd,2,86,2.3,84
oecd_enforcement_level_2024,oecd,2,86,2.3,84
oecd_thematic_coverage_2024,oecd,2,86,2.3,84
oxford_readiness_score,oxford,86,86,100.0,0
oxford_rank,oxford,86,86,100.0,0
oxford_pillar_policy_capacity,oxford,86,86,100.0,0
oxford_pillar_ai_infrastructure,oxford,86,86,100.0,0
oxford_pillar_governance,oxford,86,86,100.0,0
oxford_pillar_public_sector_adoption,oxford,86,86,100.0,0
oxford_pillar_development_and_diffusion,oxford,86,86,100.0,0
oxford_pillar_resilience,oxford,86,86,100.0,0
oxford_dimension_compute_capacity,oxford,86,86,100.0,0
oxford_dimension_policy_vision,oxford,86,86,100.0,0
oxford_dimension_e_government_delivery,oxford,86,86,100.0,0
oxford_dimension_safety_and_security,oxford,86,86,100.0,0
oxford_dimension_ai_sector_maturity,oxford,42,86,48.8,44
oxford_dimension_human_capital,oxford,42,86,48.8,44
oxford_dimension_data_quality,oxford,42,86,48.8,44
oxford_dimension_regulatory_compliance,oxford,42,86,48.8,44
oxford_dimension_government_digital_policy,oxford,38,86,44.2,48
oxford_dimension_societal_transition,oxford,38,86,44.2,48
oxford_dimension_ai_technology_diffusion,oxford,38,86,44.2,48
oxford_dimension_policy_commitment,oxford,3,86,3.5,83
oxford_dimension_enabling_technical_infrastructure,oxford,3,86,3.5,83
oxford_dimension_governance_principles,oxford,3,86,3.5,83
oxford_oxford_rank_reported,oxford,1,86,1.2,85
oxford_ai_readiness_score,oxford,1,86,1.2,85
oxford_cluster_governance,oxford,0,86,0.0,86
oxford_cluster_infrastructure_and_data,oxford,0,86,0.0,86
oxford_cluster_skills_and_education,oxford,0,86,0.0,86
oxford_cluster_government_and_public_services,oxford,0,86,0.0,86
region,region,86,86,100.0,0
stanford_fig_4.3.13,stanford,82,86,95.3,4
stanford_fig_4.3.9,stanford,82,86,95.3,4
stanford_fig_6.2.1,stanford,67,86,77.9,19
stanford_fig_4.3.8,stanford,63,86,73.3,23
stanford_fig_4.3.12,stanford,59,86,68.6,27
stanford_fig_1.2.4,stanford,52,86,60.5,34
stanford_fig_6.2.15,stanford,51,86,59.3,35
stanford_fig_6.2.16,stanford,51,86,59.3,35
stanford_fig_4.2.15,stanford,48,86,55.8,38
stanford_fig_4.2.17,stanford,48,86,55.8,38
stanford_fig_4.2.18,stanford,48,86,55.8,38
stanford_fig_4.2.23,stanford,48,86,55.8,38
stanford_fig_4.2.13,stanford,47,86,54.7,39
stanford_fig_4.2.14,stanford,47,86,54.7,39
stanford_fig_4.2.22,stanford,47,86,54.7,39
