iso3,atributos_con_valor,atributos_total,completitud_pct
USA,188,365,51.5
IND,166,365,45.5
ITA,161,365,44.1
AUT,161,365,44.1
FIN,160,365,43.8
TUR,159,365,43.6
FRA,158,365,43.3
BEL,157,365,43.0
ESP,157,365,43.0
DEU,156,365,42.7
NOR,155,365,42.5
ARE,155,365,42.5
GBR,154,365,42.2
EST,153,365,41.9
AUS,153,365,41.9
SWE,152,365,41.6
IRL,150,365,41.1
POL,150,365,41.1
KOR,149,365,40.8
NLD,149,365,40.8
CAN,148,365,40.5
CZE,148,365,40.5
DNK,148,365,40.5
CHE,148,365,40.5
CHN,145,365,39.7
HUN,144,365,39.5
NZL,143,365,39.2
ISR,143,365,39.2
ARG,143,365,39.2
PRT,143,365,39.2
ROU,142,365,38.9
LTU,142,365,38.9
NGA,141,365,38.6
GRC,141,365,38.6
JPN,140,365,38.4
CRI,140,365,38.4
BRA,140,365,38.4
LVA,138,365,37.8
MEX,138,365,37.8
HRV,138,365,37.8
SVN,138,365,37.8
LUX,138,365,37.8
BGR,135,365,37.0
SAU,135,365,37.0
ZAF,134,365,36.7
URY,133,365,36.4
SGP,133,365,36.4
CYP,133,365,36.4
PER,132,365,36.2
MAR,132,365,36.2
COL,131,365,35.9
CHL,131,365,35.9
ISL,130,365,35.6
RUS,129,365,35.3
KAZ,128,365,35.1
IDN,128,365,35.1
TUN,127,365,34.8
EGY,124,365,34.0
MYS,124,365,34.0
THA,124,365,34.0
UGA,121,365,33.2
VNM,120,365,32.9
PHL,114,365,31.2
CMR,113,365,31.0
JOR,113,365,31.0
ARM,111,365,30.4
ECU,105,365,28.8
SVK,105,365,28.8
MLT,104,365,28.5
KEN,103,365,28.2
UKR,102,365,27.9
MUS,102,365,27.9
PAN,99,365,27.1
SRB,97,365,26.6
GHA,94,365,25.8
BLR,93,365,25.5
BGD,92,365,25.2
LBN,91,365,24.9
MNG,91,365,24.9
BHR,90,365,24.7
LKA,86,365,23.6
PAK,86,365,23.6
SYC,86,365,23.6
BRB,85,365,23.3
TWN,61,365,16.7
BLZ,47,365,12.9
